Feature,Joint Angle,Correlation
R-M-Vel_z,L3A_rot,0.3582226091424072
z_vel_lag_minus_3,R2A_flex,0.35791484779252636
z_vel_lag_plus_2,R2A_abduct,0.35785376222630944
y_vel_lag_minus_1,L2C_flex,-0.35760189672754505
z_vel_ma5,R2A_abduct,0.35750250035041126
x_vel_ma5,R3C_rot,0.35745641542723666
xy_velocity,R3C_rot,0.35718663947527374
z_vel_lag_plus_1,R2A_abduct,0.3571709101152308
z_vel_lag_minus_2,R2A_flex,0.3571432900098434
x_vel_lag_minus_5,L2D_flex,0.35707770236322545
y_vel_ma20,L2C_flex,-0.35659486401476576
y_vel_lag_plus_20,L1A_abduct,-0.356592276276862
z_vel_ma10,R2A_flex,0.35652510290189193
R-F-TaG_z,L2C_flex,0.3563549804136161
y_vel_lag_minus_5,L1A_abduct,-0.3562508809210749
z_vel_lag_minus_1,R2A_flex,0.356137783674737
z_vel_lag_minus_1,R2A_abduct,0.3561104992077978
z_vel_lag_minus_10,R2A_abduct,0.3558325368770298
z_vel_lag_minus_2,R2A_abduct,0.35576115732651487
z_vel_lag_minus_3,R2A_abduct,0.355504588366075
z_vel_lag_minus_5,R2A_abduct,0.35524290737187464
y_vel_ma10,L2C_flex,-0.35519106302411785
z_vel_ma5,R2A_flex,0.35511051406093735
L-F-Vel_r,R1B_flex,0.35465087641592247
L-M-TaG_r,L2A_rot,0.35456471096294007
L-H-TaG_y,R1A_abduct,0.35420466894696667
R-M-Vel_x,R2A_rot,-0.3541199446161645
L-H-Vel_z,R3C_rot,-0.3541165323260982
R-F-TaG_z,L2D_flex,0.3534793551710106
L-F-TaG_y,R2A_flex,0.35331887180908544
z_vel_lag_plus_1,R2A_flex,0.3530335311044614
xz_velocity,L2D_flex,0.35297597844067136
x_vel_lag_minus_1,R3C_rot,0.3528762031310705
x_vel_lag_minus_10,R1B_flex,-0.3527653313393223
velocity_magnitude,R3C_rot,0.3525662837509111
x_vel_lag_minus_5,L1B_flex,-0.35236449734931785
R-F-TaG_z,L2B_rot,-0.3519369067175508
L-M-TaG_y,L1B_flex,-0.35157415960999533
x_vel_lag_minus_10,R3C_rot,0.35140030838027503
R-F-Vel_z,L1A_flex,0.35139766918361964
x_vel_lag_minus_3,L1B_flex,-0.35125334060987085
x_vel_lag_plus_20,R1B_rot,-0.3511871273094719
xy_velocity,L1B_flex,-0.35091003785462466
z_vel_lag_plus_2,R2A_flex,0.3509029904874424
x_vel_lag_minus_10,L2D_flex,0.3506374423637569
x_vel_lag_plus_5,L2D_flex,0.350292710760246
xz_velocity,R3C_rot,0.35020608715242707
R-H-TaG_y,L3C_rot,-0.34987656076327767
y_vel_lag_plus_10,R3A_flex,-0.3493207699007494
L-H-TaG_y,L1B_flex,0.3491035642059105
x_vel_lag_minus_2,R3C_rot,0.3490572609032175
L-F-TaG_z,R3C_flex,-0.3490459267714843
y_vel_lag_plus_10,R1A_abduct,-0.3490218640344258
y_vel_ma20,R3A_flex,-0.3489600377386685
L-F-TaG_z,L1A_abduct,0.3485039829970145
L-H-Vel_z,R3D_flex,-0.3484977039627313
R-H-TaG_r,R2C_flex,-0.3484906465538501
z_vel_lag_plus_3,R2A_flex,0.34843521281277906
L-F-TaG_r,R2B_flex,-0.3480801078042874
R-F-Vel_y,R1B_rot,-0.3476325434024324
L-M-Vel_x,L2A_rot,-0.3473769847601143
xy_velocity,L2D_flex,0.34734129393713103
R-H-Vel_y,L1C_flex,-0.3471996653402327
R-M-Vel_x,L3C_flex,0.3470074498624756
x_vel_lag_minus_20,L1B_flex,-0.34694352282501706
L-M-Vel_r,L2B_rot,-0.3467699543986168
x_vel_ma20,L1B_rot,0.3464886730784913
L-F-TaG_z,L3D_flex,0.34624912357294557
x_vel_lag_minus_2,L1B_flex,-0.34622506292679345
L-H-TaG_y,L1A_flex,0.3460981604070441
R-M-TaG_r,R2D_flex,-0.3459818180750409
R-F-Vel_r,L3A_rot,-0.34589935550479883
x_vel_lag_minus_3,R3C_rot,0.3458869591173182
R-H-TaG_z,R3A_flex,-0.3458826900710792
L-F-TaG_z,L2C_rot,-0.34565662796430935
velocity_magnitude,L1B_flex,-0.34550520072955804
R-H-TaG_z,R2A_rot,-0.3454709173240958
L-M-Vel_x,L3C_flex,0.3450071750964932
x_vel_lag_minus_20,R3C_rot,0.3449744901739481
L-H-TaG_x,L2B_flex,0.3443562225769937
y_vel_ma5,L2C_flex,-0.34426905445987677
R-F-Vel_z,L2B_rot,-0.34337864354247677
y_vel_lag_plus_5,L1A_abduct,-0.3431191366715046
z_vel_lag_minus_20,R2A_flex,0.3428961777425264
z_vel_lag_plus_5,R2A_flex,0.34287307698459196
L-H-Vel_y,L1D_flex,0.3427066244562015
x_vel_lag_minus_5,R3C_rot,0.342704938213531
x_vel_ma10,L1B_rot,0.3423350228885669
x_vel_ma20,R2D_flex,0.34232942766955
xy_velocity,L1B_rot,0.34170838107382095
L-F-TaG_y,L1C_rot,-0.341001158919334
y_vel_lag_plus_5,R1A_abduct,-0.34086910281573546
x_vel_lag_plus_10,R3C_rot,0.34081675143116397
L-M-TaG_y,R3C_flex,-0.34045524974436847
R-H-TaG_r,L1A_flex,-0.340016392140208
x_vel_ma5,L1B_rot,0.3397173044086821
xz_velocity,L1B_rot,0.3394860310910397
velocity_magnitude,L1B_rot,0.3392050045514449
L-F-Vel_z,R1A_flex,0.3388996696713439
x_vel_lag_minus_1,L1B_flex,-0.3386167941242017
L-H-TaG_y,L1C_flex,0.3382752559716561
L-M-TaG_x,R1B_rot,0.3379900711431857
z_vel_ma20,R1A_abduct,0.3379580725533876
x_vel_lag_plus_1,L1B_rot,0.3379538787983733
x_vel_lag_minus_1,L1B_rot,0.33794844925695566
x_vel_ma10,R2D_flex,0.3377249470027249
z_vel_lag_minus_20,R3C_rot,0.3377111418939307
R-F-TaG_z,R2A_flex,0.33760300814990485
L-F-Vel_r,R1C_flex,0.33759301139265746
R-H-Vel_y,R2A_flex,-0.3374796719434652
R-H-TaG_y,R2B_rot,0.3373470489551193
x_vel_lag_minus_2,L1B_rot,0.33697858959508525
x_vel_lag_plus_2,L1B_rot,0.3369665837832436
y_vel_lag_plus_20,R1A_abduct,-0.33693248326955894
R-H-Vel_y,R1A_abduct,-0.3368473062945446
