Feature,Joint Angle,Correlation,P-value
z_vel_lag_plus_3,L1A_abduct,0.4040187378307798,0.0
L-H-TaG_x,L3A_rot,0.4036808639480004,0.0
z_vel_ma5,L2D_flex,0.40358465689834283,0.0
R-M-TaG_y,L1C_flex,0.4033270480924604,0.0
z_vel_lag_plus_1,L2D_flex,0.40308841667352163,0.0
z_vel_lag_plus_2,L2D_flex,0.4030593237454319,0.0
z_vel_lag_plus_3,L2D_flex,0.40285499452119045,0.0
R-M-TaG_y,L3C_flex,-0.402657674962354,0.0
y_vel_lag_minus_5,L2A_abduct,-0.40249772235392506,0.0
z_vel_lag_plus_5,L1A_abduct,0.4023560743125942,0.0
L-F-TaG_z,L1A_rot,0.4022776136594847,0.0
z_vel_lag_minus_1,L2D_flex,0.40227519025130704,0.0
y_vel_lag_plus_5,L2A_abduct,-0.40223041992594544,0.0
z_vel_lag_plus_5,L2D_flex,0.4020098885494758,0.0
y_vel_lag_minus_20,L2A_abduct,-0.4019296034561288,0.0
z_vel_lag_minus_2,L2D_flex,0.40139098153457503,0.0
R-M-TaG_r,L3A_flex,-0.4013897030706103,0.0
x_vel_lag_minus_2,R1B_rot,-0.40039439461802645,0.0
L-H-Vel_y,R1D_flex,-0.40038855281127567,0.0
y_vel_ma5,L1A_abduct,-0.400310034433541,0.0
z_vel_lag_minus_3,L2D_flex,0.4002627207874156,0.0
x_vel_lag_plus_3,R1B_rot,-0.4001386575439371,0.0
z_vel_lag_minus_20,L2A_abduct,0.39991631023511726,0.0
R-F-Vel_r,L1A_rot,-0.3997401804783914,0.0
R-F-TaG_z,R3C_rot,0.3988773966556061,0.0
z_vel_lag_plus_10,L1A_abduct,0.3984522713613526,0.0
L-H-TaG_y,R2A_rot,0.39829841671056265,0.0
y_vel_lag_minus_1,L1A_abduct,-0.39797466242789725,0.0
z_vel_lag_minus_5,L2D_flex,0.39735252759036926,0.0
z_vel_ma10,L2A_abduct,0.39712752357394104,0.0
L-F-TaG_z,L3B_flex,0.39687856491754336,0.0
z_vel_lag_plus_10,L2D_flex,0.39677368327251156,0.0
x_vel_lag_minus_3,R1B_rot,-0.3964065081656731,0.0
z_vel_lag_minus_20,L2C_flex,0.39593929342071316,0.0
L-H-Vel_r,R3C_flex,-0.39571949151478036,0.0
z_vel_lag_plus_10,L2A_abduct,0.3956423090481507,0.0
z_vel_lag_plus_20,L2A_abduct,0.3955100125243072,0.0
R-M-TaG_y,R3C_flex,0.39540562996371076,0.0
R-F-TaG_r,R1B_rot,-0.39527655462918027,0.0
z_vel_lag_minus_10,L2A_abduct,0.39525931552440186,0.0
